{u'f1_score': 0.2994336511748355, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.3513859305346103, u'expanded_weighting': None, u'representation': u'BoW', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.24671933403259758, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.27968129461792574, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.29893116570073575, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2416978264804572, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.29625515984576384, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.27413913252632544, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 30, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.29893116570073575, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30494743541415775, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30286490494553076, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2717543783952051, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 20, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.30494743541415775, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 50, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.20730570402784826, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 10, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.1890637872411484, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 5, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.37622478734836984, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.2994336511748355, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 150, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.34361391573262096, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.24505780567871455, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.28785598074938934, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2977129178265365, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2948718252940895, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 75, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2925394182321001, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.9, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2925394182321001, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 40, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2488713149172483, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.8, u'threshold': 0.01, u'expansion_threshold': 0.8, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2672295803599483, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.7, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
{u'f1_score': 0.2778597578164776, u'expanded_weighting': None, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 15, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': None, u'threshold': 0.01, u'expansion_threshold': None, u'corpus': u'reuters_21578'}
{u'f1_score': 0.29893116570073575, u'expanded_weighting': 0.1, u'representation': u'BoC', u'test': 0, u'smoothing': 0.001, u'tfidf': False, u'weighting': u'milne', u'train': 100, u'stemming': u'porter', u'classify_method': u'mbayes', u'KBest': 3000, u'expansion_relatedness': 0.9, u'threshold': 0.01, u'expansion_threshold': 0.7, u'corpus': u'reuters_21578_expanded'}
