"","F1_cnx","F1_merlot","F1_oercommons","log_F1_cnx","log_F1_merlot","log_F1_oercommons","log2_F1_oercommons",F1_mean,"quality_threshold"
"68",0.582,0.522,0.27,-0.235,-0.282,-0.569,-1.889,0.458,0
"68",0.582,0.522,0.27,-0.235,-0.282,-0.569,-1.889,0.458,0.05
"68",0.582,0.522,0.27,-0.235,-0.282,-0.569,-1.889,0.458,0.10
"67",0.585,0.524,0.273,-0.233,-0.281,-0.564,-1.873,0.461,0.15
"67",0.585,0.524,0.273,-0.233,-0.281,-0.564,-1.873,0.461,0.20
"67",0.585,0.524,0.273,-0.233,-0.281,-0.564,-1.873,0.461,0.25
"67",0.585,0.524,0.273,-0.233,-0.281,-0.564,-1.873,0.461,0.30
"65",0.591,0.530,0.277,-0.228,-0.276,-0.558,-1.852,0.466,0.35
"64",0.592,0.528,0.274,-0.228,-0.277,-0.562,-1.868,0.465,0.40
"57",0.598,0.542,0.276,-0.233,-0.266,-0.559,-1.857,0.472,0.45
"46",0.642,0.554,0.275,-0.223,-0.256,-0.561,-1.862,0.490,0.50
"35",0.646,0.559,0.285,-0.192,-0.253,-0.545,-1.810,0.497,0.55
"28",0.658,0.564,0.278,-0.190,-0.249,-0.556,-1.847,0.500,0.60
"18",0.654,0.595,0.278,-0.182,-0.225,-0.556,-1.847,0.509,0.65
"12",0.667,0.599,0.316,-0.176,-0.223,-0.500,-1.662,0.527,0.70
"7",0.693,0.615,0.365,-0.159,-0.211,-0.438,-1.454,0.558,0.75
"3",0.698,0.573,0.398,-0.156,-0.242,-0.400,-1.329,0.556,0.80
